name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
백인천,1943-11-27T00:00:00Z,1982,1984,3,117,403,67,135,31,2,23,91,13,3,56,4,29,11,0,0.335,11
이춘근,1948-03-01T00:00:00Z,1982,1982,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
윤동균,1949-07-02T00:00:00Z,1982,1989,8,594,1963,263,560,98,21,38,277,41,21,287,7,194,39,7,0.285,7
김우열,1949-09-09T00:00:00Z,1982,1986,5,342,1076,160,299,45,6,41,173,44,16,155,16,141,15,3,0.278,9
임신근,1949-11-28T00:00:00Z,1982,1982,1,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11
권두조,1951-06-10T00:00:00Z,1982,1987,6,587,1603,149,352,53,9,1,112,24,31,157,21,159,35,97,0.22,6
김봉연,1952-01-13T00:00:00Z,1982,1988,7,630,2145,311,596,84,8,110,334,24,18,241,21,187,59,8,0.278,1
이종도,1952-05-22T00:00:00Z,1982,1987,6,482,1284,174,344,69,6,28,176,50,15,154,20,187,26,18,0.268,5
김성관,1952-07-06T00:00:00Z,1982,1984,3,170,499,56,124,25,5,8,61,25,10,34,13,45,15,5,0.248,7
송영운,1952-12-15T00:00:00Z,1982,1988,7,354,817,80,214,30,4,2,84,20,19,103,4,86,13,9,0.262,12
이홍범,1953-02-10T00:00:00Z,1982,1985,4,288,562,84,140,22,2,6,53,16,11,40,6,60,7,8,0.249,2
박준영,1953-02-20T00:00:00Z,1982,1984,3,133,342,34,75,14,0,3,26,0,3,38,1,63,1,4,0.219,2
정현발,1953-02-20T00:00:00Z,1982,1988,7,477,1202,158,313,59,4,46,187,15,19,161,6,204,29,11,0.26,2
김정수,1953-04-02T00:00:00Z,1982,1986,5,345,966,129,226,46,6,23,114,20,18,156,7,137,14,11,0.234,4
천보성,1953-06-11T00:00:00Z,1982,1984,3,171,444,56,106,22,1,8,55,10,5,47,2,41,7,12,0.239,6
김구길,1953-06-16T00:00:00Z,1982,1982,1,32,64,1,13,1,0,0,2,1,1,3,0,15,0,3,0.203,6
이성득,1953-07-21T00:00:00Z,1982,1982,1,52,116,6,22,1,0,0,2,2,2,12,0,8,5,7,0.19,7
김인식,1953-11-09T00:00:00Z,1982,1988,7,663,2167,260,553,67,11,11,153,99,46,107,60,110,38,79,0.255,11
김봉기,1953-12-23T00:00:00Z,1982,1987,6,145,81,36,20,2,1,0,11,5,7,6,5,13,2,1,0.247,12
김일환,1954-01-11T00:00:00Z,1982,1989,8,446,947,88,227,41,3,0,76,8,16,93,5,116,25,20,0.24,1
배대웅,1954-03-02T00:00:00Z,1982,1986,5,355,822,85,213,32,3,11,83,24,7,72,4,52,16,20,0.259,3
정구왕,1954-03-26T00:00:00Z,1982,1986,5,288,712,69,166,11,4,4,49,34,23,41,10,86,16,14,0.233,3
김유동,1954-04-09T00:00:00Z,1982,1985,4,135,378,41,89,15,1,10,41,4,4,14,4,45,10,5,0.235,4
김재박,1954-05-23T00:00:00Z,1982,1992,11,966,3561,512,972,148,26,28,321,284,119,364,45,279,53,134,0.273,5
조흥운,1954-08-13T00:00:00Z,1982,1986,5,282,774,100,187,33,8,5,71,69,29,59,2,105,11,21,0.242,8
김호인,1954-09-12T00:00:00Z,1982,1982,1,64,215,23,60,16,0,6,24,4,2,17,1,21,4,2,0.279,9
손상대,1954-10-20T00:00:00Z,1982,1985,4,31,31,1,6,1,0,0,3,1,0,3,1,11,1,2,0.194,10
함학수,1955-01-02T00:00:00Z,1982,1987,6,481,1330,186,344,59,7,32,185,44,17,83,8,153,27,31,0.259,1
최순하,1955-01-15T00:00:00Z,1982,1982,1,37,82,5,17,0,0,0,5,0,0,10,1,7,1,0,0.207,1
김무관,1955-03-02T00:00:00Z,1982,1985,4,121,326,35,65,12,0,1,20,6,7,26,8,45,9,12,0.199,3
김한근,1955-03-05T00:00:00Z,1982,1990,9,575,1382,153,354,68,5,26,157,17,20,144,17,190,40,23,0.256,3
김바위,1955-04-08T00:00:00Z,1982,1991,10,677,1688,196,409,79,6,48,241,22,16,240,20,269,38,25,0.242,4
박찬,1955-04-26T00:00:00Z,1982,1986,5,121,274,35,69,14,0,2,24,5,3,23,2,51,7,3,0.252,4
