name,birth,start_year,end_year,career,games,완투,완봉,승,패,세,홀,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,winning_rate,birth_month
박경호,1951-01-15T00:00:00Z,1982,1982,1,12,0,0,0,1,0,0,107,22.666666666666668,29,3,15,1,5,20,17,0,1
황태환,1952-08-06T00:00:00Z,1982,1989,8,199,4,1,21,29,26,0,2182,518.3333333333334,498,52,195,23,239,246,213,0.42,8
오문현,1953-02-13T00:00:00Z,1982,1987,6,74,1,0,7,20,0,0,1108,267,566,42,88,33,57,174,157,0.259,2
계형철,1953-04-03T00:00:00Z,1982,1991,10,254,39,8,69,89,9,0,5454,1286.6666666666667,1167,73,575,46,547,586,491,0.437,4
황규봉,1953-04-24T00:00:00Z,1982,1986,5,154,20,4,48,29,24,0,2751,676,639,41,152,29,257,278,231,0.623,4
최옥규,1953-07-17T00:00:00Z,1982,1982,1,13,0,0,0,2,1,0,221,47.666666666666664,63,5,26,2,31,36,26,0,7
권영호,1954-01-23T00:00:00Z,1982,1989,8,288,18,5,56,49,100,0,4210,1020.6666666666666,885,77,387,24,421,388,347,0.533,1
천창호,1954-02-13T00:00:00Z,1982,1989,8,168,10,1,21,30,3,0,2109,494,526,54,138,25,228,255,217,0.412,2
방기만,1954-05-15T00:00:00Z,1982,1982,1,8,0,0,0,0,0,0,90,17.333333333333332,26,1,13,1,3,16,12,0,5
이광권,1954-06-28T00:00:00Z,1982,1985,4,71,6,1,15,12,2,0,1162,276,264,19,102,17,107,123,96,0.556,6
정순명,1954-06-30T00:00:00Z,1982,1985,4,53,1,0,11,15,1,0,867,193,211,20,90,14,78,125,100,0.423,6
이선희,1955-02-14T00:00:00Z,1982,1987,6,133,11,5,28,36,3,0,2293,539.6666666666666,506,42,236,31,234,243,201,0.438,2
김문희,1955-03-23T00:00:00Z,1982,1985,4,78,10,1,12,24,0,0,1324,305.33333333333337,343,30,107,12,77,166,137,0.333,3
김덕열,1955-04-23T00:00:00Z,1982,1984,3,28,1,0,1,5,0,0,372,84,94,12,36,5,37,50,45,0.167,4
하기룡,1955-05-08T00:00:00Z,1982,1989,7,181,28,9,50,43,16,0,3399,817.3333333333333,750,35,266,49,333,322,261,0.538,5
신태중,1955-06-27T00:00:00Z,1982,1986,5,68,1,0,5,14,5,0,948,203.666666666666,244,29,115,17,92,166,130,0.263,6
박상열,1955-08-05T00:00:00Z,1982,1988,7,153,14,1,38,39,2,0,2957,696,691,46,245,51,217,321,271,0.494,8
김현홍,1956-02-13T00:00:00Z,1982,1983,2,25,1,1,2,1,1,0,297,73,79,7,38,1,22,37,30,0.667,2
박철순,1956-03-12T00:00:00Z,1982,1996,13,231,29,7,76,53,20,0,4338,1050.3333333333333,908,43,391,30,648,401,344,0.589,3
이진우,1956-03-18T00:00:00Z,1982,1987,6,124,2,0,10,24,6,0,1472,329,340,37,192,15,177,210,171,0.294,3
유종겸,1956-09-14T00:00:00Z,1982,1990,9,269,25,3,57,57,15,0,4363,1039.3333333333333,937,67,419,37,497,439,370,0.5,9
차준섭,1956-10-16T00:00:00Z,1982,1985,3,17,0,0,3,1,0,0,192,43,56,5,11,4,26,34,29,0.75,10
강만식,1957-02-15T00:00:00Z,1982,1989,8,151,16,3,41,37,3,0,2879,679.6666666666666,670,65,213,50,292,340,284,0.526,2
감사용,1957-03-23T00:00:00Z,1982,1986,5,61,1,0,1,15,1,0,828,181.66666666666666,237,32,60,5,47,136,123,0.062,3
성낙수,1957-08-12T00:00:00Z,1982,1986,5,71,5,0,11,11,2,0,1015,242,248,29,51,13,103,111,97,0.5,8
박석채,1957-08-26T00:00:00Z,1982,1983,2,17,1,0,2,1,0,0,210,46.666666666666664,47,5,26,2,22,30,27,0.667,8
