team,playerName,position,salary,birth,birthYear,height,weight,nationality,joinYear
두산,강동연,투수,5200,1992-12-18,1992,195,94,한국,2012
롯데,강승현,투수,2500,1985-10-06,1985,186,88,한국,2008
롯데,강영식,투수,30000,1981-06-17,1981,189,98,한국,2000
넥센,강윤구,투수,10500,1990-07-10,1990,183,89,한국,2009
KIA,고영창,투수,2500,1989-02-24,1989,189,92,한국,2013
NC,고창성,투수,7000,1984-12-21,1984,183,85,한국,2008
SK,고효준,투수,11000,1983-02-08,1983,179,71,한국,2003
KIA,곽정철,투수,7000,1986-03-14,1986,186,95,한국,2005
한화,구본범,투수,2600,1987-02-08,1987,191,91,한국,2009
롯데,구승민,투수,2400,1990-06-12,1990,181,80,한국,2013
넥센,구자형,투수,2400,1990-11-30,1990,188,88,한국,2014
삼성,권오준,투수,12000,1980-03-09,1980,182,80,한국,1999
넥센,권택형,투수,2400,1993-09-24,1993,184,85,한국,2012
삼성,권혁,투수,26000,1983-11-06,1983,192,97,한국,2002
넥센,금민철,투수,8000,1986-11-07,1986,181,87,한국,2010
두산,김강률,투수,6000,1988-08-28,1988,187,95,한국,2007
삼성,김건필,투수,2500,1988-06-19,1988,187,93,한국,2008
삼성,김건한,투수,6500,1981-03-26,1981,182,82,한국,2001
LG,김광삼,투수,7000,1980-08-15,1980,184,90,한국,1999
한화,김광수,투수,8000,1981-05-05,1981,182,84,한국,2000
SK,김광현,투수,27000,1988-07-22,1988,188,88,한국,2007
삼성,김기태,투수,3200,1987-05-11,1987,183,96,한국,2006
LG,김기표,투수,3900,1983-04-25,1983,185,84,한국,2006
한화,김기현,투수,2400,1989-04-03,1989,184,96,한국,2014
넥센,김대우,투수,2700,1988-11-21,1988,183,85,한국,2011
SK,김대유,투수,2400,1991-05-08,1991,186,90,한국,2010
한화,김동조,투수,2400,1990-01-28,1990,181,75,한국,2013
넥센,김동준,투수,2400,1992-03-02,1992,185,90,한국,2012
두산,김명성,투수,3100,1988-04-08,1988,179,88,한국,2011
KIA,김병현,투수,20000,1979-01-19,1979,178,85,한국,1999
롯데,김사율,투수,15000,1980-04-17,1980,181,95,한국,1999
LG,김선규,투수,6000,1986-04-20,1986,185,94,한국,2005
LG,김선우,투수,15000,1977-09-04,1977,182,88,한국,1997
NC,김성계,투수,2900,1985-05-23,1985,190,87,한국,2004
롯데,김성배,투수,19000,1981-01-12,1981,181,81,한국,2003
넥센,김성태,투수,4000,1982-01-03,1982,185,84,한국,2000
두산,김수완,투수,7000,1989-07-20,1989,185,76,한국,2010
