선수명,생년월일,출신교,출신,연도,팀명,평균자책점,경기,완투,완봉,승,패,세,홀,승률,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1991,태평양,2.25,3,0,0,0,0,0,0,0,16,4,3,1,1,0,3,1,1
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1992,태평양,5.47,20,1,0,7,9,0,0,0.438,474,107,128,10,47,4,49,69,65
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1993,태평양,3.36,25,5,0,7,6,3,0,0.538,521,128 2/3,111,9,34,3,57,51,48
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1994,태평양,5.03,11,0,0,1,0,0,0,1,154,34,44,3,8,1,15,21,19
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1995,태평양,5.01,23,3,1,4,7,0,0,0.364,415,97,109,11,23,1,55,59,54
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1996,현대,3.38,44,0,0,8,6,6,0,0.571,538,133 1/3,111,10,31,10,93,59,50
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1997,현대,5.92,36,0,0,4,0,0,0,1,298,65 1/3,80,11,22,3,38,46,43
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1998,쌍방울,4.24,20,0,0,1,3,1,0,0.25,162,40 1/3,36,4,8,4,18,20,19
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,1999,쌍방울,5.66,57,0,0,0,10,4,0,0,529,116,130,19,48,14,82,78,73
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,2000,SK,7.48,15,0,0,0,0,0,0,0,101,21 2/3,32,7,4,1,16,18,18
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,2001,KIA,5.93,20,0,0,1,2,1,0,0.333,185,41,46,8,17,3,24,32,27
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,2002,KIA,2.52,13,0,0,1,0,0,1,1,115,25,32,2,8,2,18,11,7
가내영,1971년 03월 29일,제물포고-태평양-쌍방울-SK-해태,한국,2003,KIA,7.71,4,0,0,0,0,0,0,0,22,4 2/3,7,0,0,1,3,4,4
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1992,롯데,6.82,15,0,0,1,0,0,0,1,140,30 1/3,30,3,20,1,16,25,23
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1993,롯데,3.29,25,0,0,1,5,0,0,0.167,217,52,43,1,24,2,37,20,19
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1994,롯데,4.28,27,2,0,8,14,0,0,0.364,682,162,160,11,65,6,83,81,77
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1995,롯데,4.1,39,0,0,7,4,3,0,0.636,407,96 2/3,79,8,40,9,74,52,44
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1996,롯데,3.93,26,0,0,1,1,0,0,0.5,222,50 1/3,49,9,25,2,27,27,22
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1997,롯데,5.71,41,0,0,1,4,1,0,0.2,190,41,50,3,19,2,24,27,26
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1998,롯데,4.13,27,0,0,2,2,1,0,0.5,220,52 1/3,48,5,21,1,30,26,24
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,1999,롯데,4.38,48,0,0,1,2,1,0,0.333,214,49 1/3,52,5,16,1,34,26,24
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2000,롯데,5.18,39,0,0,1,2,0,2,0.333,217,48 2/3,48,8,18,5,37,33,28
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2001,롯데,4.26,58,0,0,1,3,2,9,0.25,227,50 2/3,60,4,15,4,42,31,24
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2002,롯데,5.61,50,0,0,0,2,0,8,0,116,25 2/3,34,5,9,2,15,19,16
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2003,롯데,5.8,81,0,0,1,1,1,13,0.5,146,35 2/3,32,3,9,4,29,23,23
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2004,롯데,4.91,65,0,0,3,3,0,12,0.5,175,40 1/3,40,2,21,2,25,23,22
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2005,롯데,3.52,35,0,0,0,0,1,2,0,89,23,18,0,1,4,21,9,9
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2006,롯데,5.06,63,0,0,3,3,0,11,0.5,113,26 2/3,23,2,14,0,20,15,15
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2007,SK,4.02,67,0,0,1,0,0,12,1,166,40 1/3,35,2,14,3,21,18,18
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2008,SK,5.51,60,0,0,4,3,1,8,0.571,152,32 2/3,42,5,9,3,24,24,20
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2009,SK,6.75,13,0,0,0,0,0,0,0,35,8,7,2,5,0,3,6,6
가득염,1969년 10월 01일,대전대동초-충남중-대전고-동국대-롯데-SK,한국,2010,SK,4.41,21,0,0,0,0,0,1,0,71,16 1/3,14,1,10,0,12,9,8
가르시아,1968년 05월 11일,미국 리버사이드 커뮤니티대,미국,2000,삼성,2.91,13,0,0,2,5,0,1,0.286,237,55 2/3,46,2,20,3,34,26,18
갈베스,1964년 03월 31일,도미니카 푸에르토리코고,도미니카,2001,삼성,2.47,15,5,2,10,4,0,0,0.714,477,116 2/3,100,7,34,8,85,42,32
감병훈,1971년 05월 25일,경북고-단국대,한국,1994,삼성,0,3,0,0,0,0,0,0,0,6,1 2/3,1,0,0,0,1,0,0
감병훈,1971년 05월 25일,경북고-단국대,한국,1995,삼성,40.5,2,0,0,0,0,0,0,0,11,1 1/3,5,2,2,0,2,6,6
감병훈,1971년 05월 25일,경북고-단국대,한국,1996,삼성,25.07,8,0,0,0,2,0,0,0,35,4 2/3,9,2,10,2,3,13,13
감병훈,1971년 05월 25일,경북고-단국대,한국,1997,삼성,6.1,7,0,0,0,0,1,0,0,49,10 1/3,11,0,7,0,5,8,7
감병훈,1971년 05월 25일,경북고-단국대,한국,1998,삼성,13.5,3,0,0,0,0,0,0,0,11,2,3,0,3,0,1,3,3
감병훈,1971년 05월 25일,경북고-단국대,한국,1999,삼성,20.25,7,0,0,0,0,0,0,0,23,4,5,2,7,0,2,9,9
감사용,1957년 03월 23일,인천전문대,한국,1982,삼미,6.46,41,1,0,1,14,1,0,0.067,615,133 2/3,179,25,47,2,23,106,96
감사용,1957년 03월 23일,인천전문대,한국,1983,삼미,2.92,6,0,0,0,0,0,0,0,51,12 1/3,12,1,4,0,6,6,4
감사용,1957년 03월 23일,인천전문대,한국,1984,삼미,0,1,0,0,0,0,0,0,0,9,2 1/3,2,0,1,0,0,0,0
감사용,1957년 03월 23일,인천전문대,한국,1985,청보,6.53,12,0,0,0,1,0,0,0,141,30 1/3,41,5,8,3,17,23,22
감사용,1957년 03월 23일,인천전문대,한국,1986,OB,3,1,0,0,0,0,0,0,0,12,3,3,1,0,0,1,1,1
강관식,1984년 04월 12일,공주고-성균관대,한국,2005,두산,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
강규성,1969년 03월 25일,동대문상고,한국,1989,OB,3.86,3,0,0,0,0,0,0,0,32,7,7,1,5,0,1,3,3
강규성,1969년 03월 25일,동대문상고,한국,1990,OB,4.65,12,0,0,1,3,0,0,0.25,216,50 1/3,44,2,37,0,23,27,26
강규성,1969년 03월 25일,동대문상고,한국,1994,OB,4.5,1,0,0,0,0,0,0,0,8,2,1,1,1,0,1,1,1
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1991,쌍방울,4.5,34,5,0,8,13,1,0,0.381,747,168,164,16,94,15,73,95,84
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1992,쌍방울,4.8,33,2,1,5,14,1,0,0.263,606,137,139,18,70,9,75,85,73
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1993,쌍방울,5.02,31,3,0,7,11,1,0,0.389,595,136 1/3,125,10,76,10,61,79,76
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1994,OB,4.59,23,0,0,1,8,0,0,0.111,308,68 2/3,59,5,42,7,38,46,35
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1995,OB,3.97,24,0,0,2,1,6,0,0.667,183,45 1/3,35,5,11,2,27,20,20
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1996,OB,3.35,41,0,0,2,4,2,0,0.333,336,80 2/3,72,5,21,4,54,33,30
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1997,OB,4.46,39,0,0,1,0,4,0,1,294,66 2/3,67,6,30,4,42,41,33
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1998,OB,16.2,2,0,0,0,0,0,0,0,17,3 1/3,4,3,2,1,2,6,6
강길용,1968년 10월 14일,광주제일고-동국대-쌍방울,한국,1999,두산,14.44,10,0,0,0,1,0,0,0,81,14 1/3,31,4,6,0,10,25,23
강대성,1971년 05월 09일,광주상고,한국,1990,해태,4.91,7,0,0,0,0,0,0,0,49,11,10,0,6,1,2,6,6
강대성,1971년 05월 09일,광주상고,한국,1991,해태,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0
강대성,1971년 05월 09일,광주상고,한국,1994,해태,16.62,2,0,0,0,0,0,0,0,24,4 1/3,11,2,0,1,2,8,8
강대성,1971년 05월 09일,광주상고,한국,1995,해태,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
강만식,1957년 02월 15일,고려대,한국,1982,해태,4.44,29,6,0,5,11,1,0,0.313,642,144,152,11,69,10,86,93,71
강만식,1957년 02월 15일,고려대,한국,1983,해태,2.78,22,1,1,6,4,0,0,0.6,387,94,83,5,22,5,51,42,29
강만식,1957년 02월 15일,고려대,한국,1984,해태,3.26,28,3,0,11,4,0,0,0.733,540,129 2/3,124,14,36,7,60,58,47
강만식,1957년 02월 15일,고려대,한국,1985,해태,3.31,41,5,2,13,8,0,0,0.619,803,198 2/3,178,22,44,19,63,78,73
강만식,1957년 02월 15일,고려대,한국,1986,해태,4.33,19,1,0,4,6,2,0,0.4,331,72 2/3,91,6,25,5,24,39,35
강만식,1957년 02월 15일,고려대,한국,1987,빙그레,6.11,5,0,0,2,3,0,0,0.4,119,28,27,5,11,2,4,20,19
강만식,1957년 02월 15일,고려대,한국,1988,빙그레,0,2,0,0,0,0,0,0,0,5,1 1/3,0,0,2,0,0,0,0
강만식,1957년 02월 15일,고려대,한국,1989,삼성,7.94,5,0,0,0,1,0,0,0,52,11 1/3,15,2,4,2,4,10,10
강민기,1970년 08월 27일,현대공고,한국,1990,롯데,8.16,9,0,0,0,1,0,0,0,72,14 1/3,21,5,12,0,5,15,13
강민영,1981년 07월 04일,경남고,한국,2000,롯데,7.88,25,0,0,0,2,0,1,0,183,37 2/3,48,11,19,4,36,34,33
